Walt Moryn
Arnie Moser
Doc Moskiman
Howie Moss
Les Moss
Mal Moss
Allie Moulton
Zach Muckenhirn
Gordie Mueller
Les Mueller
Fran Mullins
Rance Mulliniks
Red Munger
Horatio Munn
Les Munns
Arnie Munoz
Red Munson
Masanori Murakami
Toru Murata
Penn Murfee
Red Murff
Buzz Murphy
Con Murphy
Yale Murphy
Miah Murray
Red Murray
Hap Myers
Wil Myers
Judge Nagle
Cotton Nash
Tito Navarro
Rollie Naylor
Zach Neal
Bry Nelson
Candy Nelson
Mel Nelson
Red Nelson
Tex Nelson
Robb Nen
Zach Neto
Graig Nettles
Maury Newlin
Bobo Newsom
Skeeter Newsome
Doc Newton
Gift Ngoepe
Dolan Nichols
Kid Nichols
Ovid Nicholson
Parson Nicholson
Milt Nielsen
Butch Nieman
Wil Nieves
Tsuyoshi Nishioka
Otho Nitcholas
Vinny Nittoli
Hideo Nomo
Red Nonnenkamp
Irv Noren
Les Norman
Hub Northen
Effie Norton
Rube Novotney
Win Noyes
Les Nunamaker
Dom Nunez
Jhonny Nunez
Renato Nunez
Howie Nunn
Rebel Oakes
Doc Oberlander
Darby O'Brien
Dink O'Brien
Syd O'Brien
Paddy O'Connor
Lefty O'Doul
Alexi Ogando
Nefi Ogando
Curly Ogden
Kid O'Hara
Tomo Ohka
Shohei Ohtani
Kirt Ojala
Augie Ojeda
Hideki Okajima
Red Oldham
Rube Oldring
Diomedes Olivo
Ole Olsen
Ivy Olson
Marv Olson
Tip O'Neill
Oliverio Ortiz
Ossie Orwoll
Bobo Osborne
Ozzie Osborn
Tiny Osborne
Champ Osteen
Red Ostergard
Mel Ott
Marv Owen
Spike Owen
Red Owens
Satchel Paige
Milt Pappas
Dixie Parker
Hoy Park
Mel Parnell
Rube Parnham
Jiggs Parrott
Dixie Parsons
Vinnie Pasquantino
Clare Patterson
Ham Patterson
Red Patterson
Si Pauxtis
Dickey Pearce
Bunny Pearce
Albie Pearson
Marv Peasley
Les Peden
Joc Pederson
Stu Pederson
Chick Pedroes
Red Peery
Jailen Peguero
Kit Pellow
Geronimo Pena
Hipolito Pena
Herb Pennock
Pepper Peploski
Laurin Pepper
Jhonny Peralta
Wily Peralta
Geraldo Perdomo
Hub Perdue
Audry Perez
Beltran Perez
Eury Perez
Eury Perez
Odalis Perez
Pascual Perez
Timo Perez
Yefri Perez
Hub Pernoll
Pol Perritt
Chan Perry
Parson Perryman
Vinnie Pestano
Cap Peterson
Rube Peters
Sid Peterson
Geno Petralli
Babe Phelps
Cord Phelps
Nealy Phelps
Buz Phillips
Bubba Phillips
Lefty Phillips
Red Phillips
Zach Phillips
Hipolito Pichardo
Urbane Pickering
Gracie Pierce
Marino Pieretti
Babe Pinelli
Yohan Pino
Vada Pinson
Cotton Pippen
Skip Pitlock
Gaylen Pitts
Gordie Pladson
Zach Plesac
Rance Pless
Herb Plews
Biff Pocoroba
Boots Poffenberger
Placido Polanco
Howie Pollet
Stu Pomeranz
Harlin Pool
Zach Pop
Irv Porter
Odie Porter
Arnie Portocarrero
Lew Post
Squire Potter
Nellie Pott
Vivian Potts
Doc Powers
Les Powers
Vic Power
Yohel Pozo
Mel Preibisch
Walt Preston
Red Proctor
Doc Prothro
Augie Prudhomme
Hub Pruett
Tex Pruiett
Migel Puente
Yasiel Puig
Zach Putnam
Ewald Pyle
Mel Queen
Mel Queen
Juniel Querecuto
Robb Quinlan
Paddy Quinn
Marv Rackley
Rip Radcliff
Doc Ralston
Alexei Ramirez
Aramis Ramirez
Edwar Ramirez
Elizardo Ramirez
Hanley Ramirez
Milt Ramirez
Wilkin Ramirez
Yohan Ramirez
Newt Randall
Goldie Rapp
Vic Raschi
Morrie Rath
Rangel Ravelo
Farmer Ray
Irv Ray
Howie Reed
Milt Reed
Jakson Reetz
Arch Reilly
Zac Reininger
Laurie Reis
Doc Reisling
Zach Reks
Desi Relaford
Butch Rementer
Zach Remillard
Win Remmerswaal
Laddie Renfroe
Rip Repulski
Merv Rettenmund
Argenis Reyes
Dennys Reyes
Allie Reynolds
Ronn Reynolds
Flint Rhem
Antoan Richardson
Gordie Richardson
Nolen Richardson
Lew Richie
Beryl Richmond
Branch Rickey
Marv Rickert
Lew Riggs
Topper Rigney
Culley Rikard
Walt Ripley
Swede Risberg
Lew Ritter
Yadiel Rivera
Mel Roach
Kramer Robertson
Red Roberts
Sherry Robertson
Sid Roberson
Skipper Roberts
Skippy Roberge
Chuckie Robinson
Trayvon Robinson
Chick Robitaille
Hansel Robles
Les Rock
Ellie Rodriguez
Endy Rodriguez
Jefry Rodriguez
Paco Rodriguez
Vic Rodriguez
Yorman Rodriguez
Preacher Roe
Les Rohr
Mel Rojas
Minnie Rojas
Red Rolfe
Red Rollings
Sal Romano
Dutch Romberger
Jhon Romero
Mandy Romero
Stefen Romero
Amed Rosario
Rosie Rosebraugh
Bunny Roser
Zac Rosscup
Bubby Rossman
Marv Rotblatt
Vinny Rottino
Vic Roznovsky
Wilkin Ruan
Dutch Ruether
Red Ruffing
Chico Ruiz
Chico Ruiz
Lefty Russell
Rip Russell
Marius Russo
Babe Ruth
Adley Rutschman
Vic Saier
Takashi Saito
Lenn Sakata
Marino Salas
Solly Salisbury
Slim Sallee
Chico Salmon
Celerino Sanchez
Gaby Sanchez
Romulo Sanchez
Sixto Sanchez
Mo Sanford
Amauri Sanit
Marino Santana
Omir Santos
Kazuhiro Sasaki
Mackey Sasser
Tayler Saucedo
Warwick Saupold
Moe Savransky
Skeeter Scalzi
Doc Scanlan
Mort Scanlan
Les Scarsella
Sid Schacht
Germany Schaefer
Rube Schauer
Lefty Schegg
Dutch Schesler
Morrie Schick
Red Schillings
Dutch Schirick
Admiral Schlei
Dutch Schliebner
Norm Schlueter
Boss Schmidt
Red Schoendienst
Ham Schulte
Howie Schultz
Walt Schulz
Webb Schultz
Skip Schumaker
Ferdie Schupp
Herb Score
Milt Scott
Tayler Scott
Doc Sechrist
Kal Segrist
Rube Sellers
Count Sensenderfer
Rip Sewell
Tillie Shafer
Howie Shanks
Red Shannon
Spike Shannon
Merv Shea
Red Shea
Rollie Sheldon
Skeeter Shelton
Neill Sheridan
Red Sheridan
Norm Sherry
Ginger Shinault
Zak Shinall
Tsuyoshi Shinjo
Tex Shirley
Ivey Shiver
Urban Shocker
Milt Shoffner
Chick Shorten
Chasen Shreve
Lev Shreve
Norm Siebern
Candy Sierra
Paddy Siglin
Lew Simmons
Shae Simmons
Mel Simons
Syl Simon
Roe Skidmore
Camp Skinner
Walt Slagle
Heathcliff Slocumb
Walt Smallwood
Aleck Smith
Bryn Smith
Brick Smith
Burch Smith
Carr Smith
Chick Smith
Dar Smith
Germany Smith
Happy Smith
Jud Smith
Kevan Smith
Mayo Smith
Mallex Smith
Milt Smith
Ozzie Smith
Paddy Smith
Pavin Smith
Red Smith
Red Smith
Red Smith
Red Smith
Sherry Smith
Syd Smith
Vinnie Smith
Clancy Smyres
Red Smyth
Roxy Snipes
Colonel Snover
Chubby Snyder
Nicklaus Snyder
Chief Sockalexis
Jhonatan Solano
Alay Soler
Lary Sorensen
Zach Sorensen
Joakim Soria
Chick Sorrells
Vic Sorrell
Edmundo Sosa
Lenyn Sosa
Geovany Soto
Livan Soto
Neftali Soto
Denard Span
Tully Sparks
Tris Speaker
Kid Speer
Scipio Spinks
Marv Staehle
Chick Stahl
Tuck Stainback
Con Starkel
Dolly Stark
Bubba Starling
Ebba St. Claire
Farmer Steelman
Kennie Steenstra
Milt Steengrafe
Morrie Steevens
Irv Stein
Red Steiner
Rennie Stennett
Dernell Stenson
Buzz Stephen
Riggs Stephenson
Christin Stewart
Kohl Stewart
Lefty Stewart
Zach Stewart
Rollie Stiles
Royle Stillman
Locke St. John
Mel Stocker
Milt Stock
Arnie Stone
Tige Stone
Tobi Stoner
